Issue Id,Issue Type,Summary,Description,Priority,Component,Labels,Assignee,Parent Id,Depends On,Sprint,Story Points,Definition of Done
EPIC-PLAT,EPIC,Platform Core and Connector Foundation,"Tenant lifecycle, connector registry, claim guard policy, and connector health baselines.",Highest,platform-core,"milestone,m0,m1",, , ,Sprint 1-2,13,"All secured APIs enforce tenant claims; connector health checks operational"
EPIC-WS,EPIC,Candidate Workspace and Intervention,"Monaco shell, event stream, real-time intervention, and SLA observability.",Highest,workspace-ai,"milestone,m2",, , ,Sprint 3-4,13,"Intervention p50 < 2s in pilot profile"
EPIC-SCORE,EPIC,Scoring Integrity and Fade-Out,"Binary-Plus scoring, process-integrity signals, mode-aware hint budgets.",Highest,learning-assessment,"milestone,m3",, , ,Sprint 5,8,"Exam mode hint caps enforced server-side and audited"
EPIC-LMS,EPIC,Authoring Evaluator and LMS Sync,"Zero-shot authoring, evaluator workflow, competency payload sync to LMS.",High,lms-integration,"milestone,m4",, , ,Sprint 6,8,"LMS receives score and competency evidence payload"
EPIC-SIM,EPIC,Simulator and Demo Automation,"Scenario orchestrator, synthetic cohorts, historical replay, reset/purge.",Highest,simulator,"milestone,m5",, , ,Sprint 7,13,"No mock data in product runtime; simulator can bootstrap full demo"
EPIC-MIS,EPIC,MIS Results and Certification,"Dashboards, exports, results release, and certificate lifecycle.",High,insights-certification,"milestone,m6",, , ,Sprint 8,8,"End-to-end reporting and certification flow validated"
PLAT-001,Story,Define connector contract v1,"Specify launch, identity map, curriculum context, outcomes sync, event hooks, and health checks.",Highest,platform-core,"connector,m0",Architecture Lead,EPIC-PLAT,,Sprint 1,3,"Contract reviewed by product, architecture, security"
SEC-001,Story,Finalize claim schema and guard policy,"Define required claims and mandatory checks at gateway and service layers.",Highest,security,"claims,m0",Security Lead,EPIC-PLAT,,Sprint 1,3,"Missing or mismatched claims are rejected in all secured endpoints"
SCORE-001,Story,Freeze Binary-Plus payload schema,"Lock score structure, evidence references, and integrity flag shape.",High,learning-assessment,"scoring,m0",Assessment Lead,EPIC-SCORE,,Sprint 1,2,"Schema approved and versioned"
SIM-001,Story,Define simulator boundary policy,"Formalize separate simulator runtime, tagging rules, and purge standards.",Highest,simulator,"simulator,m0",Platform PM,EPIC-SIM,,Sprint 1,2,"Policy published and enforced in architecture checks"
PLAT-010,Story,Implement tenant lifecycle APIs,"Create tenant create/suspend/archive/restore endpoints with audit logs.",Highest,platform-core,"tenant,m1",Backend Lead,EPIC-PLAT,SEC-001,Sprint 2,5,"Lifecycle APIs pass integration tests with immutable audit entries"
PLAT-011,Story,Build connector registry and tenant configuration,"Store connector config per tenant and expose readiness status.",Highest,platform-core,"connector,m1",Backend Lead,EPIC-PLAT,PLAT-001,Sprint 2,5,"Tenant can activate Moodle connector and run health checks"
SEC-010,Story,Enforce claim guard middleware and query wrappers,"Add tenant claim checks and guarded data access wrappers.",Highest,security,"claims,m1",Security Engineer,EPIC-PLAT,SEC-001,Sprint 2,5,"Cross-tenant negative tests all fail as expected"
OPS-010,Story,Add connector and tenancy observability,"Expose connector errors, tenant API failure rates, and guard failures.",High,sre,"observability,m1",SRE Lead,EPIC-PLAT,PLAT-010|PLAT-011,Sprint 2,3,"Dashboards and alerts active"
UI-020,Story,Build candidate shell and Monaco primitives,"Implement activity bar, explorer, tabs, problems panel, and git panel.",Highest,workspace-ai,"ux,m2",Frontend Lead,EPIC-WS,PLAT-010,Sprint 3,8,"Workspace shell passes UX acceptance checklist"
AI-020,Story,Implement real-time intervention service,"Integrate fast model tier for sub-2-second interventions.",Highest,workspace-ai,"latency,m2",ML Engineer,EPIC-WS,UI-020,Sprint 3,8,"p50 latency target achieved under pilot load"
TRACE-020,Story,Implement workspace event ingestion,"Capture edit trace and dialogue events with tenant and attempt linkage.",High,workspace-ai,"trace,m2",Backend Engineer,EPIC-WS,UI-020,Sprint 3,5,"Events persisted with stable ids and replay support"
PERF-020,Story,Implement latency SLA dashboard and alerting,"Track p50/p95/p99 and trigger alert policy on breaches.",High,sre,"latency,m2",SRE Engineer,EPIC-WS,AI-020,Sprint 4,3,"Alerting tested and dashboard visible by tenant"
